,sector,StartDate,Category,activity,Indicator,Indicator2,Governorate,Gender,Partner,SiteType,appeal,Fundedby,allocation,rcode,gcode,Value,Units,location,region,poptype
2021,WASH,28/2/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Urban/Rural Syrian Boys (Age 0-17) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,BALQA,Boys,ICMC,"  Other[Villages, Rural areas]  - ",Direct appeal,None - Fund direct from Donors,Yes,2,1702,11,# of benef,Liwa Qasabat As Salt,Center,Urban
2022,WASH,28/2/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Urban/Rural Syrian Women (Age 18 and above) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,BALQA,Women,ICMC,"  Other[Villages, Rural areas]  - ",Direct appeal,None - Fund direct from Donors,Yes,2,1702,7,# of benef,Liwa Qasabat As Salt,Center,Urban
2023,WASH,30/5/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Urban/Rural Syrian Boys (Age 0-17) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,BALQA,Boys,ICMC,"  Other[Villages, Rural areas]  - ",Direct appeal,None - Fund direct from Donors,Yes,2,1702,11,# of benef,Liwa Qasabat As Salt,Center,Urban
2024,WASH,30/5/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Urban/Rural Syrian Women (Age 18 and above) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,BALQA,Women,ICMC,"  Other[Villages, Rural areas]  - ",Direct appeal,None - Fund direct from Donors,Yes,2,1702,7,# of benef,Liwa Qasabat As Salt,Center,Urban
2033,WASH,28/2/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Urban/Rural Syrian Men (Age 18 and above) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,BALQA,Men,ICMC,"  Other[Villages, Rural areas]  - ",Direct appeal,None - Fund direct from Donors,Yes,2,1702,6,# of benef,Liwa Qasabat As Salt,Center,Urban
2153,WASH,30/5/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Urban/Rural Syrian Men (Age 18 and above) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,BALQA,Men,ICMC,"  Other[Villages, Rural areas]  - ",Direct appeal,None - Fund direct from Donors,Yes,2,1702,6,# of benef,Liwa Qasabat As Salt,Center,Urban
7161,WASH,30/3/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Urban/Rural Syrian Boys (Age 0-17) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,IRBID,Boys,ICMC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1707,9,# of benef,Liwa Qasabat Irbid,North,Urban
7283,WASH,30/3/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Urban/Rural Syrian Men (Age 18 and above) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,IRBID,Men,ICMC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1707,7,# of benef,Liwa Qasabat Irbid,North,Urban
7955,WASH,28/2/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Urban/Rural Syrian Women (Age 18 and above) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,IRBID,Women,ICMC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1707,1,# of benef,Liwa Qasabat Irbid,North,Urban
7988,WASH,30/5/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Urban/Rural Syrian Men (Age 18 and above) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,IRBID,Men,ICMC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1707,8,# of benef,Liwa Qasabat Irbid,North,Urban
8009,WASH,30/3/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Host Community Men (Age 18 and above) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,IRBID,Men,ICMC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1707,6,# of benef,Liwa Qasabat Irbid,North,Host Community
8071,WASH,28/2/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Urban/Rural Syrian Girls (Age 0-17) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,IRBID,Girls,ICMC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1707,2,# of benef,Liwa Qasabat Irbid,North,Urban
8073,WASH,30/3/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Host Community Men (Age 18 and above) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,IRBID,Men,ICMC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1707,1,# of benef,Liwa Qasabat Irbid,North,Host Community
8074,WASH,30/3/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Urban/Rural Syrian Women (Age 18 and above) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,IRBID,Women,ICMC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1707,3,# of benef,Liwa Qasabat Irbid,North,Urban
8193,WASH,28/2/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Urban/Rural Syrian Boys (Age 0-17) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,IRBID,Boys,ICMC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1707,2,# of benef,Liwa Qasabat Irbid,North,Urban
8196,WASH,30/3/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Urban/Rural Syrian Girls (Age 0-17) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,IRBID,Girls,ICMC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1707,2,# of benef,Liwa Qasabat Irbid,North,Urban
8353,WASH,30/5/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Host Community Men (Age 18 and above) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,IRBID,Men,ICMC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1707,6,# of benef,Liwa Qasabat Irbid,North,Host Community
8379,WASH,28/2/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Host Community Boys (Age 0-17) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,IRBID,Boys,ICMC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1707,1,,Liwa Qasabat Irbid,North,Host Community
8722,WASH,30/5/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Host Community Women (Age 18 and above) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,IRBID,Women,ICMC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1707,6,# of benef,Liwa Qasabat Irbid,North,Host Community
8874,WASH,30/3/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Host Community Boys (Age 0-17) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,IRBID,Boys,ICMC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1707,2,,Liwa Qasabat Irbid,North,Host Community
9083,WASH,28/2/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Urban/Rural Syrian Women (Age 18 and above) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,IRBID,Women,ICMC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1707,12,# of benef,Liwa Qasabat Irbid,North,Urban
9102,WASH,30/3/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Host Community Girls (Age 0-17) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,IRBID,Girls,ICMC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1707,5,# of benef,Liwa Qasabat Irbid,North,Host Community
9111,WASH,28/2/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Host Community Girls (Age 0-17) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,IRBID,Girls,ICMC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1707,1,# of benef,Liwa Qasabat Irbid,North,Host Community
9112,WASH,30/3/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Urban/Rural Syrian Girls (Age 0-17) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,IRBID,Girls,ICMC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1707,9,# of benef,Liwa Qasabat Irbid,North,Urban
9113,WASH,30/3/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Urban/Rural Syrian Women (Age 18 and above) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,IRBID,Women,ICMC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1707,8,# of benef,Liwa Qasabat Irbid,North,Urban
9116,WASH,28/2/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Host Community Women (Age 18 and above) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,IRBID,Women,ICMC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1707,1,# of benef,Liwa Qasabat Irbid,North,Host Community
9445,WASH,28/2/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Urban/Rural Syrian Men (Age 18 and above) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,IRBID,Men,ICMC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1707,8,# of benef,Liwa Qasabat Irbid,North,Urban
9462,WASH,30/3/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Host Community Women (Age 18 and above) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,IRBID,Women,ICMC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1707,10,# of benef,Liwa Qasabat Irbid,North,Host Community
9686,WASH,28/2/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Urban/Rural Syrian Girls (Age 0-17) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,IRBID,Girls,ICMC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1707,20,# of benef,Liwa Qasabat Irbid,North,Urban
9705,WASH,30/5/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Urban/Rural Syrian Women (Age 18 and above) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,IRBID,Women,ICMC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1707,12,# of benef,Liwa Qasabat Irbid,North,Urban
9814,WASH,30/5/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Urban/Rural Syrian Girls (Age 0-17) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,IRBID,Girls,ICMC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1707,20,# of benef,Liwa Qasabat Irbid,North,Urban
9815,WASH,28/2/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Urban/Rural Syrian Boys (Age 0-17) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,IRBID,Boys,ICMC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1707,16,# of benef,Liwa Qasabat Irbid,North,Urban
9816,WASH,28/2/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Host Community Men (Age 18 and above) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,IRBID,Men,ICMC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1707,6,# of benef,Liwa Qasabat Irbid,North,Host Community
9817,WASH,30/5/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Host Community Girls (Age 0-17) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,IRBID,Girls,ICMC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1707,7,# of benef,Liwa Qasabat Irbid,North,Host Community
9827,WASH,28/2/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Host Community Boys (Age 0-17) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,IRBID,Boys,ICMC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1707,8,,Liwa Qasabat Irbid,North,Host Community
9946,WASH,28/2/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Host Community Girls (Age 0-17) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,IRBID,Girls,ICMC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1707,7,# of benef,Liwa Qasabat Irbid,North,Host Community
10143,WASH,30/3/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Urban/Rural Syrian Men (Age 18 and above) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,IRBID,Men,ICMC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1707,4,# of benef,Liwa Qasabat Irbid,North,Urban
10144,WASH,30/3/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Urban/Rural Syrian Boys (Age 0-17) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,IRBID,Boys,ICMC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1707,5,# of benef,Liwa Qasabat Irbid,North,Urban
10187,WASH,28/2/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Host Community Women (Age 18 and above) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,IRBID,Women,ICMC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1707,6,# of benef,Liwa Qasabat Irbid,North,Host Community
10307,WASH,30/5/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Host Community Boys (Age 0-17) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,IRBID,Boys,ICMC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1707,8,,Liwa Qasabat Irbid,North,Host Community
10669,WASH,30/5/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Urban/Rural Syrian Boys (Age 0-17) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,IRBID,Boys,ICMC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1707,16,# of benef,Liwa Qasabat Irbid,North,Urban
11251,WASH,28/2/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Urban/Rural Syrian Boys (Age 0-17) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,JARASH,Boys,ICMC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1708,17,# of benef,Liwa Qasabat Jarash,North,Urban
11258,WASH,28/2/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Host Community Boys (Age 0-17) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,JARASH,Boys,ICMC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1708,1,,Liwa Qasabat Jarash,North,Host Community
11288,WASH,28/2/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Host Community Men (Age 18 and above) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,JARASH,Men,ICMC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1708,2,# of benef,Liwa Qasabat Jarash,North,Host Community
11315,WASH,30/5/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Urban/Rural Syrian Girls (Age 0-17) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,JARASH,Girls,ICMC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1708,9,# of benef,Liwa Qasabat Jarash,North,Urban
11321,WASH,30/5/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Urban/Rural Syrian Boys (Age 0-17) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,JARASH,Boys,ICMC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1708,16,# of benef,Liwa Qasabat Jarash,North,Urban
11329,WASH,28/2/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Urban/Rural Syrian Men (Age 18 and above) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,JARASH,Men,ICMC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1708,5,# of benef,Liwa Qasabat Jarash,North,Urban
11393,WASH,28/2/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Urban/Rural Syrian Girls (Age 0-17) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,JARASH,Girls,ICMC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1708,6,# of benef,Liwa Qasabat Jarash,North,Urban
11422,WASH,30/5/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Host Community Men (Age 18 and above) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,JARASH,Men,ICMC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1708,1,# of benef,Liwa Qasabat Jarash,North,Host Community
11423,WASH,28/2/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Host Community Girls (Age 0-17) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,JARASH,Girls,ICMC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1708,6,# of benef,Liwa Qasabat Jarash,North,Host Community
11446,WASH,30/5/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Host Community Girls (Age 0-17) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,JARASH,Girls,ICMC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1708,3,# of benef,Liwa Qasabat Jarash,North,Host Community
11447,WASH,28/2/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Host Community Women (Age 18 and above) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,JARASH,Women,ICMC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1708,2,# of benef,Liwa Qasabat Jarash,North,Host Community
11489,WASH,30/5/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Host Community Women (Age 18 and above) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,JARASH,Women,ICMC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1708,1,# of benef,Liwa Qasabat Jarash,North,Host Community
11490,WASH,30/5/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Urban/Rural Syrian Men (Age 18 and above) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,JARASH,Men,ICMC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1708,4,# of benef,Liwa Qasabat Jarash,North,Urban
11654,WASH,30/5/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Urban/Rural Syrian Women (Age 18 and above) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,JARASH,Women,ICMC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1708,13,# of benef,Liwa Qasabat Jarash,North,Urban
11759,WASH,30/3/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Urban/Rural Syrian Men (Age 18 and above) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,JARASH,Men,ICMC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1708,1,# of benef,Liwa Qasabat Jarash,North,Urban
11819,WASH,28/2/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Urban/Rural Syrian Women (Age 18 and above) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,JARASH,Women,ICMC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1708,13,# of benef,Liwa Qasabat Jarash,North,Urban
11828,WASH,28/2/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Urban/Rural Syrian Women (Age 18 and above) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,JARASH,Women,ICMC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1708,2,# of benef,Liwa Qasabat Jarash,North,Urban
11879,WASH,30/3/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Urban/Rural Syrian Women (Age 18 and above) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,JARASH,Women,ICMC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1708,1,# of benef,Liwa Qasabat Jarash,North,Urban
11880,WASH,28/2/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Urban/Rural Syrian Girls (Age 0-17) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,JARASH,Girls,ICMC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1708,1,# of benef,Liwa Qasabat Jarash,North,Urban
11907,WASH,30/3/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Urban/Rural Syrian Men (Age 18 and above) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,JARASH,Men,ICMC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1708,1,# of benef,Liwa Qasabat Jarash,North,Urban
11950,WASH,28/2/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Urban/Rural Syrian Boys (Age 0-17) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,JARASH,Boys,ICMC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1708,6,# of benef,Liwa Qasabat Jarash,North,Urban
12002,WASH,28/2/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Urban/Rural Syrian Boys (Age 0-17) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,JARASH,Boys,ICMC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1708,2,# of benef,Liwa Qasabat Jarash,North,Urban
12004,WASH,28/2/2015,Hygiene promotion,[REF3.1]Refugee Hygiene Promotion,# reached through targeted distribution of WASH NFI’s as per agreed minimum standards,Urban/Rural Syrian Women (Age 18 and above) # reached through targeted distribution of WASH NFI’s as per agreed minimum standards,JARASH,Women,ICMC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1708,1,# of benef,Liwa Qasabat Jarash,North,Urban
